Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/11/2023 12:30:52,12,Scott Jackson,431,Travis Chaney,394
11/11/2023 12:49:17,12,Kevin Fraley,501,Chris Lipe,388
11/11/2023 12:52:14,12,Quinn James,513,Brad Whitmarsh,496
11/11/2023 12:52:33,12,Becky Dyer,478,Puneet Sharma,460
11/11/2023 12:52:46,12,David Whitley,519,Mohammad Sulaiman,366
11/11/2023 12:53:54,12,Dave Wiegand,420,Joel Wapnick,318
11/11/2023 12:55:24,12,Rob Robinsky,444,Kolton Koehler,404
11/11/2023 12:58:48,12,Austin Shin,441,John O'Laughlin,431
11/11/2023 13:00:59,12,Sandy Nang,515,Randi Goldberg,362
11/11/2023 13:02:31,12,Christopher Grubb,436,Peter Armstrong,380
11/11/2023 15:09:14,13,Chris Lipe,498,Rasheed Balogun,346
11/11/2023 15:15:27,13,Becky Dyer,449,Travis Chaney,373
11/11/2023 15:17:22,13,Kolton Koehler,486,Quinn James,455
11/11/2023 15:22:16,13,Sandy Nang,479,Randi Goldberg,318
11/11/2023 15:23:02,13,Kevin Fraley,444,Alec Sjöholm,379
11/11/2023 15:23:18,13,John O'Laughlin,512,Joel Wapnick,490
11/11/2023 15:25:56,13,Dave Wiegand,464,Rob Robinsky,402
11/11/2023 15:29:17,13,Austin Shin,499,David Whitley,410
11/11/2023 15:29:47,13,Puneet Sharma,433,Mohammad Sulaiman,366
11/11/2023 15:32:13,13,Peter Armstrong,481,Scott Jackson,422
11/11/2023 15:32:25,13,Brad Whitmarsh,426,Christopher Grubb,418
11/11/2023 16:08:40,14,Becky Dyer,408,Rasheed Balogun,394
11/11/2023 16:12:00,14,Randi Goldberg,425,Travis Chaney,385
11/11/2023 16:14:57,14,Alec Sjöholm,392,Kolton Koehler,375
11/11/2023 16:17:35,14,Scott Jackson,535,Chris Lipe,488
11/11/2023 16:18:26,14,Kevin Fraley,445,Austin Shin,322
11/11/2023 16:20:49,14,Sandy Nang,439,Mohammad Sulaiman,423
11/11/2023 16:24:21,14,Rob Robinsky,466,Quinn James,345
11/11/2023 16:24:44,14,David Whitley,492,Joel Wapnick,379
11/11/2023 16:31:54,14,Dave Wiegand,427,Christopher Grubb,406
11/11/2023 16:33:00,14,John O'Laughlin,471,Brad Whitmarsh,449
11/11/2023 16:34:06,14,Peter Armstrong,465,Puneet Sharma,435
11/11/2023 17:04:18,15,Mohammad Sulaiman,427,Travis Chaney,379
11/11/2023 17:10:15,15,Scott Jackson,437,Sandy Nang,376
11/11/2023 17:13:48,15,Randi Goldberg,390,Becky Dyer,362
11/11/2023 17:20:53,15,Puneet Sharma,409,Rasheed Balogun,321
11/11/2023 17:21:07,15,Chris Lipe,415,Brad Whitmarsh,371
11/11/2023 17:23:44,15,Kevin Fraley,528,Joel Wapnick,376
11/11/2023 17:28:26,15,David Whitley,385,Quinn James,367
11/11/2023 17:28:29,15,Alec Sjöholm,451,Rob Robinsky,337
11/11/2023 17:29:11,15,John O'Laughlin,420,Kolton Koehler,393
11/11/2023 17:30:10,15,Austin Shin,513,Christopher Grubb,322
11/11/2023 17:30:27,15,Dave Wiegand,508,Peter Armstrong,354
11/11/2023 17:44:07,16,Sandy Nang,480,Travis Chaney,304
11/11/2023 18:10:32,16,Christopher Grubb,593,Austin Shin,336
11/11/2023 18:10:42,16,Rasheed Balogun,463,Randi Goldberg,448
11/11/2023 18:13:08,16,Mohammad Sulaiman,472,Becky Dyer,414
11/11/2023 18:16:32,16,Puneet Sharma,482,Chris Lipe,443
11/11/2023 18:20:03,16,John O'Laughlin,522,Quinn James,306
11/11/2023 18:20:56,16,Peter Armstrong,527,Alec Sjöholm,465
11/11/2023 18:21:03,16,Kolton Koehler,577,Rob Robinsky,285
11/11/2023 18:21:44,16,Brad Whitmarsh,510,David Whitley,342
11/11/2023 18:25:42,16,Scott Jackson,573,Joel Wapnick,418
11/11/2023 18:31:22,16,Kevin Fraley,485,Dave Wiegand,446
11/12/2023 9:37:24,17,Travis Chaney,396,Rasheed Balogun,358
11/12/2023 9:52:21,17,Kolton Koehler,598,Brad Whitmarsh,415
11/12/2023 9:52:53,17,John O'Laughlin,425,Rob Robinsky,367
11/12/2023 9:53:25,17,Sandy Nang,447,Becky Dyer,360
11/12/2023 9:53:56,17,Alec Sjöholm,532,Quinn James,319
11/12/2023 9:55:21,17,Dave Wiegand,602,Kevin Fraley,305
11/12/2023 9:59:02,17,Peter Armstrong,528,David Whitley,430
11/12/2023 9:59:03,17,Puneet Sharma,424,Christopher Grubb,362
11/12/2023 10:01:26,17,Austin Shin,396,Scott Jackson,320
11/12/2023 10:01:51,17,Randi Goldberg,502,Chris Lipe,429
11/12/2023 10:01:55,17,Mohammad Sulaiman,447,Joel Wapnick,443
11/12/2023 10:49:39,18,Travis Chaney,432,Joel Wapnick,364
11/12/2023 10:51:01,18,Dave Wiegand,469,John O'Laughlin,346
11/12/2023 10:52:17,18,Rasheed Balogun,457,Austin Shin,380
11/12/2023 10:53:03,18,Rob Robinsky,546,Scott Jackson,352
11/12/2023 10:53:15,18,Puneet Sharma,562,Brad Whitmarsh,373
11/12/2023 10:57:04,18,Alec Sjöholm,542,Becky Dyer,408
11/12/2023 10:59:56,18,Christopher Grubb,517,Randi Goldberg,341
11/12/2023 11:00:02,18,Quinn James,424,Sandy Nang,415
11/12/2023 11:00:03,18,Mohammad Sulaiman,464,Chris Lipe,317
11/12/2023 11:01:50,18,Peter Armstrong,450,Kevin Fraley,437
11/12/2023 11:01:58,18,David Whitley,387,Kolton Koehler,384
11/12/2023 11:41:23,19,Dave Wiegand,467,Alec Sjöholm,427
11/12/2023 11:47:19,19,Rob Robinsky,541,Sandy Nang,355
11/12/2023 11:49:58,19,Brad Whitmarsh,404,Scott Jackson,309
11/12/2023 11:50:11,19,Rasheed Balogun,428,Mohammad Sulaiman,358
11/12/2023 11:51:33,19,Becky Dyer,476,Joel Wapnick,415
11/12/2023 11:52:04,19,Travis Chaney,464,Chris Lipe,452
11/12/2023 11:56:03,19,Austin Shin,572,Puneet Sharma,418
11/12/2023 11:57:09,19,Randi Goldberg,528,David Whitley,456
11/12/2023 12:00:04,19,Kevin Fraley,458,Kolton Koehler,405
11/12/2023 12:02:11,19,Christopher Grubb,498,Quinn James,478
11/12/2023 12:08:31,19,Peter Armstrong,413,John O'Laughlin,386
11/12/2023 12:26:29,20,Scott Jackson,601,Travis Chaney,268
11/12/2023 12:43:09,20,Joel Wapnick,589,Sandy Nang,291
11/12/2023 12:51:04,20,Dave Wiegand,541,Peter Armstrong,459
11/12/2023 12:51:11,20,Chris Lipe,515,David Whitley,314
11/12/2023 12:52:04,20,Rasheed Balogun,453,John O'Laughlin,402
11/12/2023 12:53:25,20,Austin Shin,417,Mohammad Sulaiman,350
11/12/2023 12:53:29,20,Puneet Sharma,490,Rob Robinsky,453
11/12/2023 12:55:39,20,Brad Whitmarsh,404,Randi Goldberg,300
11/12/2023 12:59:42,20,Kevin Fraley,452,Becky Dyer,434
11/12/2023 13:03:33,20,Quinn James,520,Christopher Grubb,358
11/12/2023 13:05:20,20,Kolton Koehler,475,Alec Sjöholm,352
11/12/2023 15:17:22,21,Austin Shin,533,Dave Wiegand,481
11/12/2023 15:17:57,21,Alec Sjöholm,471,John O'Laughlin,424
11/12/2023 15:18:07,21,Sandy Nang,472,Rasheed Balogun,418
11/12/2023 15:18:20,21,Travis Chaney,450,Joel Wapnick,396
11/12/2023 15:23:15,21,Christopher Grubb,473,Brad Whitmarsh,390
11/12/2023 15:24:35,21,Mohammad Sulaiman,468,David Whitley,375
11/12/2023 15:25:50,21,Quinn James,474,Puneet Sharma,295
11/12/2023 15:26:13,21,Becky Dyer,424,Chris Lipe,350
11/12/2023 15:27:10,21,Kolton Koehler,421,Peter Armstrong,394
11/12/2023 15:28:04,21,Kevin Fraley,571,Rob Robinsky,320
11/12/2023 15:30:33,21,Randi Goldberg,462,Scott Jackson,429
11/12/2023 16:03:52,22,Rasheed Balogun,427,Travis Chaney,402
11/12/2023 16:18:49,22,Sandy Nang,472,Chris Lipe,348
11/12/2023 16:21:24,22,David Whitley,499,Randi Goldberg,408
11/12/2023 16:21:49,22,Austin Shin,430,Alec Sjöholm,370
11/12/2023 16:23:08,22,Kolton Koehler,434,Dave Wiegand,342
11/12/2023 16:23:45,22,Rob Robinsky,502,John O'Laughlin,389
11/12/2023 16:26:42,22,Brad Whitmarsh,454,Becky Dyer,438
11/12/2023 16:29:15,22,Kevin Fraley,483,Christopher Grubb,389
11/12/2023 16:32:00,22,Mohammad Sulaiman,434,Scott Jackson,427
11/12/2023 16:32:34,22,Quinn James,463,Peter Armstrong,380
11/12/2023 16:33:07,22,Puneet Sharma,456,Joel Wapnick,368
11/12/2023 17:17:30,23,Chris Lipe,530,Travis Chaney,336
11/12/2023 17:20:09,23,Dave Wiegand,513,Kolton Koehler,395
11/12/2023 17:21:11,23,Rob Robinsky,530,Austin Shin,414
11/12/2023 17:21:27,23,Sandy Nang,425,Scott Jackson,397
11/12/2023 17:24:55,23,Christopher Grubb,474,Becky Dyer,392
11/12/2023 17:25:03,23,Alec Sjöholm,441,Brad Whitmarsh,408
11/12/2023 17:25:09,23,David Whitley,465,Rasheed Balogun,463
11/12/2023 17:31:58,23,Peter Armstrong,424,Puneet Sharma,383
11/12/2023 17:32:34,23,Kevin Fraley,519,Quinn James,326
11/12/2023 17:33:45,23,Mohammad Sulaiman,399,John O'Laughlin,381
11/12/2023 17:38:16,23,Randi Goldberg,431,Joel Wapnick,366
11/12/2023 18:15:24,24,Brad Whitmarsh,480,Travis Chaney,317
11/12/2023 18:22:11,24,Christopher Grubb,486,Scott Jackson,398
11/12/2023 18:22:52,24,David Whitley,580,Sandy Nang,367
11/12/2023 18:23:46,24,Rasheed Balogun,513,John O'Laughlin,508
11/12/2023 18:24:39,24,Quinn James,512,Alec Sjöholm,443
11/12/2023 18:26:06,24,Mohammad Sulaiman,507,Kolton Koehler,424
11/12/2023 18:28:24,24,Chris Lipe,552,Joel Wapnick,349
11/12/2023 18:29:14,24,Dave Wiegand,397,Becky Dyer,345
11/12/2023 18:29:45,24,Peter Armstrong,586,Randi Goldberg,390
11/12/2023 18:32:36,24,Puneet Sharma,404,Kevin Fraley,396
11/12/2023 18:44:55,24,Austin Shin,424,Rob Robinsky,411
