Submitted On	Round	Winner	Winners Score	Opponent	Opponents Score	Opponent Affirmation
11/14/2021 8:03:12	9	Becky Dyer	454	Brent Weil	396	Confirmed!
11/14/2021 8:05:32	9	Sam Rosin	507	Zachary Dang	398	Confirmed!
11/14/2021 8:56:11	10	Becky Dyer	464	Terry Kang	425	Confirmed!
11/14/2021 8:56:15	10	Sam Rosin	420	Ben Schoenbrun	317	Confirmed!
11/14/2021 8:57:53	10	Eloy Gardea	539	Joe Roberdeau	382	Confirmed!
11/14/2021 8:58:16	10	Robert Linn	482	Jennifer Clinchy	333	Confirmed!
11/14/2021 9:02:20	10	Marty Gold	405	Brent Weil	400	Confirmed!
11/14/2021 9:03:21	10	Nancy Bowen	540	Zachary Dang	381	Confirmed!
11/14/2021 9:03:29	10	Randi Goldberg	391	Michael McKenna	334	Confirmed!
11/14/2021 9:06:26	10	Tim Weiss	436	Joshua Castellano	406	Confirmed!
11/14/2021 9:17:01	10	Evans Clinchy	450	Chris Lipe	426	Confirmed!
11/14/2021 9:51:51	11	Tim Weiss	442	Michael McKenna	369	Confirmed!
11/14/2021 9:52:54	11	Nancy Bowen	393	Joe Roberdeau	361	Confirmed!
11/14/2021 9:58:50	11	Robert Linn	484	Terry Kang	282	Confirmed!
11/14/2021 9:59:30	11	Becky Dyer	478	Jennifer Clinchy	415	Confirmed!
11/14/2021 9:59:41	11	Ben Schoenbrun	465	Evans Clinchy	426	Confirmed!
11/14/2021 10:00:03	11	Joshua Castellano	426	Randi Goldberg	387	Confirmed!
11/14/2021 10:05:29	11	Marty Gold	458	Eloy Gardea	404	Confirmed!
11/14/2021 10:08:30	11	Zachary Dang	396	Brent Weil	375	Confirmed!
11/14/2021 10:14:26	11	Sam Rosin	439	Chris Lipe	394	Confirmed!
11/14/2021 11:17:18	12	Ben Schoenbrun	464	Chris Lipe	435	Confirmed!
11/14/2021 11:21:49	12	Eloy Gardea	482	Zachary Dang	400	Confirmed!
11/14/2021 11:23:25	12	Marty Gold	497	Joe Roberdeau	391	Confirmed!
11/14/2021 11:25:13	12	Jennifer Clinchy	391	Terry Kang	390	Confirmed!
11/14/2021 11:25:48	12	Robert Linn	512	Becky Dyer	409	Confirmed!
11/14/2021 11:27:15	12	Nancy Bowen	406	Brent Weil	365	Confirmed!
11/14/2021 11:27:57	12	Michael McKenna	404	Joshua Castellano	391	Confirmed!
11/14/2021 11:28:20	12	Tim Weiss	481	Randi Goldberg	417	Confirmed!
11/14/2021 11:29:59	12	Sam Rosin	505	Evans Clinchy	453	Confirmed!
11/14/2021 12:13:01	13	Ben Schoenbrun	514	Robert Linn	419	Confirmed!
11/14/2021 12:23:52	13	Joe Roberdeau	409	Nancy Bowen	396	Confirmed!
11/14/2021 12:24:57	13	Evans Clinchy	495	Sam Rosin	396	Confirmed!
11/14/2021 12:28:12	13	Joshua Castellano	434	Terry Kang	355	Confirmed!
11/14/2021 12:29:03	13	Randi Goldberg	441	Eloy Gardea	429	Confirmed!
11/14/2021 12:29:45	13	Tim Weiss	519	Jennifer Clinchy	403	Confirmed!
11/14/2021 12:29:58	13	Becky Dyer	413	Chris Lipe	368	Confirmed!
11/14/2021 12:31:48	13	Marty Gold	431	Michael McKenna	422	Confirmed!
11/14/2021 12:34:14	13	Zachary Dang	484	Brent Weil	427	Confirmed!
11/14/2021 13:15:52	14	Ben Schoenbrun	435	Robert Linn	408	Confirmed!
11/14/2021 13:22:51	14	Eloy Gardea	396	Terry Kang	296	Confirmed!
11/14/2021 13:25:21	14	Brent Weil	418	Nancy Bowen	376	Confirmed!
11/14/2021 13:25:55	14	Michael McKenna	401	Jennifer Clinchy	343	Confirmed!
11/14/2021 13:30:36	14	Joe Roberdeau	397	Zachary Dang	336	Confirmed!
11/14/2021 13:32:30	14	Marty Gold	473	Chris Lipe	402	Confirmed!
11/14/2021 13:33:54	14	Tim Weiss	414	Becky Dyer	340	Confirmed!
11/14/2021 13:36:04	14	Randi Goldberg	464	Joshua Castellano	461	Confirmed!
11/14/2021 13:36:06	14	Sam Rosin	494	Evans Clinchy	404	Confirmed!
